CMRR (modelFiles=nom) X,CMRR (modelFiles=nom) Y,CMRR (modelFiles=spectre.scs:fs) X,CMRR (modelFiles=spectre.scs:fs) Y,CMRR (modelFiles=spectre.scs:sf) X,CMRR (modelFiles=spectre.scs:sf) Y,CMRR (modelFiles=spectre.scs:ff) X,CMRR (modelFiles=spectre.scs:ff) Y,CMRR (modelFiles=spectre.scs:ss) X,CMRR (modelFiles=spectre.scs:ss) Y
0.1270574105208534,6400.000087204347,0.1270574105208534,6400.000087204347,0.1270574105208534,6400.000087204347,0.1270574105208534,276.9560723397694,0.1270574105208534,405.1024499079343
0.1273503081016654,409.4007846084011,0.1273503081016654,409.4007846084011,0.1273503081016654,409.4007846084011,0.1273503081016654,276.9560723397707,0.1273503081016654,413.0612500813751
0.1276438808811336,6400.000087204347,0.1276438808811336,6400.000087204347,0.1276438808811336,6400.000087204347,0.1276438808811336,270.9312281607639,0.1276438808811336,409.5394249002615
0.1279381304157517,409.4007846084011,0.1279381304157517,409.4007846084011,0.1279381304157517,409.4007846084011,0.1279381304157517,276.9560723397703,0.1279381304157517,298.6698517290267
0.1282330582656014,409.4007846084011,0.1282330582656014,409.4007846084011,0.1282330582656014,409.4007846084011,0.1282330582656014,270.9312281607634,0.1282330582656014,292.6492518157786
0.1285286659943608,403.3801846951214,0.1285286659943608,403.3801846951214,0.1285286659943608,403.3801846951214,0.1285286659943608,337.1535833822078,0.1285286659943608,298.6698517290267
0.1288249551693126,276.9475865162491,0.1288249551693126,276.9475865162491,0.1288249551693126,276.9475865162491,0.1288249551693126,276.9560723397708,0.1288249551693126,298.6698517289991
0.1291219273613526,276.9475865162493,0.1291219273613526,276.9475865162493,0.1291219273613526,276.9475865162493,0.1291219273613526,276.9391077061786,0.1291219273613526,292.6492518157826
0.1294195841449978,403.3801846951214,0.1294195841449978,403.3801846951214,0.1294195841449978,403.3801846951214,0.1294195841449978,276.9391077061784,0.1294195841449978,298.6698517289635
0.1297179270983948,276.9475865162484,0.1297179270983948,276.9475865162484,0.1297179270983948,276.9475865162484,0.1297179270983948,276.9560723397699,0.1297179270983948,405.1024499079344
0.1300169578033282,270.9269866029696,0.1300169578033282,270.9269866029696,0.1300169578033282,270.9269866029696,0.1300169578033282,276.9560723397708,0.1300169578033282,407.0406501680955
0.1303166778452291,403.3801846951214,0.1303166778452291,403.3801846951214,0.1303166778452291,403.3801846951214,0.1303166778452291,337.1535842614336,0.1303166778452291,298.6698517289991
0.1306170888131833,403.3801846951214,0.1306170888131833,403.3801846951214,0.1306170888131833,403.3801846951214,0.1306170888131833,276.9560723397706,0.1306170888131833,298.6698517289635
0.1309181922999398,409.4007846084011,0.1309181922999398,409.4007846084011,0.1309181922999398,409.4007846084011,0.1309181922999398,276.939107706177,0.1309181922999398,292.6492518157668
0.1312199899019194,276.9475865162471,0.1312199899019194,276.9475865162471,0.1312199899019194,276.9475865162471,0.1312199899019194,276.9391077061783,0.1312199899019194,298.6698517289991
0.1315224832192229,409.4007846084011,0.1315224832192229,409.4007846084011,0.1315224832192229,409.4007846084011,0.1315224832192229,337.1535845680878,0.1315224832192229,298.6698517290267
0.1318256738556398,397.3595847818418,0.1318256738556398,397.3595847818418,0.1318256738556398,397.3595847818418,0.1318256738556398,276.9560723397707,0.1318256738556398,298.6698517289635
0.1321295634186566,395.4213845216807,0.1321295634186566,395.4213845216807,0.1321295634186566,395.4213845216807,0.1321295634186566,276.9560723397703,0.1321295634186566,298.6698517290267
0.1324341535194656,276.9475865162471,0.1324341535194656,276.9475865162471,0.1324341535194656,276.9475865162471,0.1324341535194656,276.9560723397689,0.1324341535194656,298.6698517289201
0.132739445772973,276.9475865162493,0.132739445772973,276.9475865162493,0.132739445772973,276.9475865162493,0.132739445772973,270.9312281607639,0.132739445772973,298.6698517289635
0.1330454417978082,409.4007846084011,0.1330454417978082,409.4007846084011,0.1330454417978082,409.4007846084011,0.1330454417978082,270.9312281607636,0.1330454417978082,298.6698517289635
0.1333521432163315,276.9475865162491,0.1333521432163315,276.9475865162491,0.1333521432163315,276.9475865162491,0.1333521432163315,337.1535850140051,0.1333521432163315,298.6698517288687
0.1336595516546433,276.9475865162471,0.1336595516546433,276.9475865162471,0.1336595516546433,276.9475865162471,0.1336595516546433,270.9312281607637,0.1336595516546433,298.6698517289991
