(VT("/net22") - VT("/net30")) (modelFiles=nom) X,(VT("/net22") - VT("/net30")) (modelFiles=nom) Y,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:fs) X,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:fs) Y,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:sf) X,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:sf) Y,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:ff) X,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:ff) Y,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:ss) X,(VT("/net22") - VT("/net30")) (modelFiles=spectre.scs:ss) Y
1.233000000000001e-06,0.0004663871312211576,1.233000000000001e-06,0.0004663871312211576,1.233000000000001e-06,0.0004663871312211576,1.233000000000001e-06,0.0004680303300819144,1.233000000000001e-06,0.0004646032000581446
1.293000000000001e-06,0.0004705902632979875,1.293000000000001e-06,0.0004705902632979875,1.293000000000001e-06,0.0004705902632979875,1.293000000000001e-06,0.0004720973337528633,1.293000000000001e-06,0.0004689499397121377
1.353000000000001e-06,0.0004742510212751849,1.353000000000001e-06,0.0004742510212751849,1.353000000000001e-06,0.0004742510212751849,1.353000000000001e-06,0.0004756300029571392,1.353000000000001e-06,0.0004727462710714114
1.413000000000001e-06,0.0004774717379825155,1.413000000000001e-06,0.0004774717379825155,1.413000000000001e-06,0.0004774717379825155,1.413000000000001e-06,0.0004787311312590692,1.413000000000001e-06,0.0004760939549806054
1.473000000000001e-06,0.0004802735063600405,1.473000000000001e-06,0.0004802735063600405,1.473000000000001e-06,0.0004802735063600405,1.473000000000001e-06,0.000481421344741717,1.473000000000001e-06,0.0004790145386934785
1.533000000000001e-06,0.0004827416519426198,1.533000000000001e-06,0.0004827416519426198,1.533000000000001e-06,0.0004827416519426198,1.533000000000001e-06,0.0004837862281743543,1.533000000000001e-06,0.0004815929853754231
1.593000000000001e-06,0.0004848857934927064,1.593000000000001e-06,0.0004848857934927064,1.593000000000001e-06,0.0004848857934927064,1.593000000000001e-06,0.0004858346706588801,1.593000000000001e-06,0.0004838396680795221
1.653000000000001e-06,0.0004867773899992489,1.653000000000001e-06,0.0004867773899992489,1.653000000000001e-06,0.0004867773899992489,1.653000000000001e-06,0.0004876382963683312,1.653000000000001e-06,0.0004858257831370505
1.713000000000001e-06,0.0004884181098918638,1.713000000000001e-06,0.0004884181098918638,1.713000000000001e-06,0.0004884181098918638,1.713000000000001e-06,0.0004891978943459829,1.713000000000001e-06,0.0004875539319038058
1.773000000000001e-06,0.0004898679669727013,1.773000000000001e-06,0.0004898679669727013,1.773000000000001e-06,0.0004898679669727013,1.773000000000001e-06,0.0004905736150317974,1.773000000000001e-06,0.0004890838981801426
