"v (/net11 /net10); ac deg(V) (modelFiles=nom,R2=100000) X","v (/net11 /net10); ac deg(V) (modelFiles=nom,R2=100000) Y","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:fs,R2=100000) X","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:fs,R2=100000) Y","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:sf,R2=100000) X","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:sf,R2=100000) Y"
31622.77660168381,-5.121690175370196,31622.77660168381,-5.121690175370196,31622.77660168381,-5.121690175370196
52480.74602497728,-8.460682761253558,52480.74602497728,-8.460682761253558,52480.74602497728,-8.460682761253558
87096.35899560811,-13.86745078076527,87096.35899560811,-13.86745078076527,87096.35899560811,-13.86745078076527
144543.9770745928,-22.28130914892168,144543.9770745928,-22.28130914892168,144543.9770745928,-22.28130914892168
239883.2919019492,-34.22394878701181,239883.2919019492,-34.22394878701181,239883.2919019492,-34.22394878701181
398107.1705534975,-48.48676577394379,398107.1705534975,-48.48676577394379,398107.1705534975,-48.48676577394379
660693.4480075964,-61.9791379253686,660693.4480075964,-61.9791379253686,660693.4480075964,-61.9791379253686
1096478.196143186,-72.321692996617,1096478.196143186,-72.321692996617,1096478.196143186,-72.321692996617
1819700.858609985,-79.30730883417105,1819700.858609985,-79.30730883417105,1819700.858609985,-79.30730883417105
3019951.720402018,-83.81324908966604,3019951.720402018,-83.81324908966604,3019951.720402018,-83.81324908966604
5011872.336272726,-86.77560126362565,5011872.336272726,-86.77560126362565,5011872.336272726,-86.77560126362565
8317637.711026715,-88.92559144291378,8317637.711026715,-88.92559144291378,8317637.711026715,-88.92559144291378
13803842.64602886,-90.87023770173586,13803842.64602886,-90.87023770173586,13803842.64602886,-90.87023770173586
22908676.52767774,-93.35820654630962,22908676.52767774,-93.35820654630962,22908676.52767774,-93.35820654630962
38018939.63205615,-97.97834828613826,38018939.63205615,-97.97834828613826,38018939.63205615,-97.97834828613826
63095734.44801937,-108.8694271490816,63095734.44801937,-108.8694271490816,63095734.44801937,-108.8694271490816
104712854.80509,-135.1551334338102,104712854.80509,-135.1551334338102,104712854.80509,-135.1551334338102
173780082.8749377,-187.2401125565001,173780082.8749377,-187.2401125565001,173780082.8749377,-187.2401125565001
288403150.3126608,-246.8654875828354,288403150.3126608,-246.8654875828354,288403150.3126608,-246.8654875828354
478630092.3226386,-293.39856426789,478630092.3226386,-293.39856426789,478630092.3226386,-293.39856426789
794328234.724282,-331.8286334464743,794328234.724282,-331.8286334464743,794328234.724282,-331.8286334464743
1318256738.556408,-365.3425400617884,1318256738.556408,-365.3425400617884,1318256738.556408,-365.3425400617884
2187761623.949554,-394.2383912703457,2187761623.949554,-394.2383912703457,2187761623.949554,-394.2383912703457
3630780547.701016,-417.7279723819822,3630780547.701016,-417.7279723819822,3630780547.701016,-417.7279723819822
6025595860.743582,-436.1915062510895,6025595860.743582,-436.1915062510895,6025595860.743582,-436.1915062510895
10000000000,-451.8031404348189,10000000000,-451.8031404348189,10000000000,-451.8031404348189
