"v (/net11 /net10); ac dB20(V) (modelFiles=nom,R2=10000) X","v (/net11 /net10); ac dB20(V) (modelFiles=nom,R2=10000) Y","v (/net11 /net10); ac dB20(V) (modelFiles=spectre.scs:fs,R2=10000) X","v (/net11 /net10); ac dB20(V) (modelFiles=spectre.scs:fs,R2=10000) Y","v (/net11 /net10); ac dB20(V) (modelFiles=spectre.scs:sf,R2=10000) X","v (/net11 /net10); ac dB20(V) (modelFiles=spectre.scs:sf,R2=10000) Y","v (/net11 /net10); ac dB20(V) (modelFiles=spectre.scs:ff,R2=10000) X","v (/net11 /net10); ac dB20(V) (modelFiles=spectre.scs:ff,R2=10000) Y","v (/net11 /net10); ac dB20(V) (modelFiles=spectre.scs:ss,R2=10000) X","v (/net11 /net10); ac dB20(V) (modelFiles=spectre.scs:ss,R2=10000) Y"
3019951.720402018,23.30940084879358,3019951.720402018,23.30940084879358,3019951.720402018,23.30940084879358,3019951.720402018,23.38263200782335,3019951.720402018,23.2310333774683
5011872.336272726,20.72986519116597,5011872.336272726,20.72986519116597,5011872.336272726,20.72986519116597,5011872.336272726,20.8414590530536,5011872.336272726,20.61150271918992
8317637.711026715,17.26381286307086,8317637.711026715,17.26381286307086,8317637.711026715,17.26381286307086,8317637.711026715,17.40170564968829,8317637.711026715,17.11840104357862
13803842.64602886,13.32985665006387,13803842.64602886,13.32985665006387,13803842.64602886,13.32985665006387,13803842.64602886,13.48093683280801,13803842.64602886,13.17087618837931
22908676.52767774,9.301552817982445,22908676.52767774,9.301552817982445,22908676.52767774,9.301552817982445,22908676.52767774,9.458856518065206,22908676.52767774,9.13584949279768
38018939.63205615,5.501824132796776,38018939.63205615,5.501824132796776,38018939.63205615,5.501824132796776,38018939.63205615,5.663490740995,38018939.63205615,5.330615854095853
63095734.44801937,2.226556794905608,63095734.44801937,2.226556794905608,63095734.44801937,2.226556794905608,63095734.44801937,2.395110540876772,63095734.44801937,2.045593849417983
104712854.80509,-0.7327842256847837,104712854.80509,-0.7327842256847837,104712854.80509,-0.7327842256847837,104712854.80509,-0.5409364934884787,104712854.80509,-0.9446870163797633
173780082.8749377,-5.899375385560334,173780082.8749377,-5.899375385560334,173780082.8749377,-5.899375385560334,173780082.8749377,-5.648838044458326,173780082.8749377,-6.184884076800722
288403150.3126608,-16.67060755997528,288403150.3126608,-16.67060755997528,288403150.3126608,-16.67060755997528,288403150.3126608,-16.39619895380786,288403150.3126608,-16.98578155380056
478630092.3226386,-30.3635517708981,478630092.3226386,-30.3635517708981,478630092.3226386,-30.3635517708981,478630092.3226386,-30.03945603297112,478630092.3226386,-30.72477682039829
794328234.724282,-44.89062081647623,794328234.724282,-44.89062081647623,794328234.724282,-44.89062081647623,794328234.724282,-44.49447517463411,794328234.724282,-45.31362227937073
1318256738.556408,-59.31401578777415,1318256738.556408,-59.31401578777415,1318256738.556408,-59.31401578777415,1318256738.556408,-58.8896071777022,1318256738.556408,-59.75049275984688
2187761623.949554,-72.9577858807623,2187761623.949554,-72.9577858807623,2187761623.949554,-72.9577858807623,2187761623.949554,-72.58223141020015,2187761623.949554,-73.32893446919813
3630780547.701016,-85.51511751541427,3630780547.701016,-85.51511751541427,3630780547.701016,-85.51511751541427,3630780547.701016,-85.27999663742835,3630780547.701016,-85.73216094189333
6025595860.743582,-96.83147670884459,6025595860.743582,-96.83147670884459,6025595860.743582,-96.83147670884459,6025595860.743582,-96.80219473182726,6025595860.743582,-96.84483976145702
10000000000,-106.9996157053235,10000000000,-106.9996157053235,10000000000,-106.9996157053235,10000000000,-107.152827908206,10000000000,-106.8482752072234
