output noise; V / sqrt(Hz) (modelFiles=nom) X,output noise; V / sqrt(Hz) (modelFiles=nom) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:fs) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:fs) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:sf) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:sf) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ff) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ff) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ss) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ss) Y
26.30267991895383,1.510891144732409e-09,26.30267991895383,1.510891144732409e-09,26.30267991895383,1.510891144732409e-09,26.30267991895383,1.492212531857508e-09,26.30267991895383,1.529722572156332e-09
43.65158322401662,1.510891144732636e-09,43.65158322401662,1.510891144732636e-09,43.65158322401662,1.510891144732636e-09,43.65158322401662,1.492212531857403e-09,43.65158322401662,1.52972257215664e-09
72.44359600749904,1.510891144733095e-09,72.44359600749904,1.510891144733095e-09,72.44359600749904,1.510891144733095e-09,72.44359600749904,1.49221253185765e-09,72.44359600749904,1.529722572157118e-09
120.2264434617413,1.510891144733552e-09,120.2264434617413,1.510891144733552e-09,120.2264434617413,1.510891144733552e-09,120.2264434617413,1.492212531858013e-09,120.2264434617413,1.529722572157496e-09
199.526231496888,1.51089114473313e-09,199.526231496888,1.51089114473313e-09,199.526231496888,1.51089114473313e-09,199.526231496888,1.492212531857686e-09,199.526231496888,1.529722572156762e-09
331.1311214825913,1.510891144728935e-09,331.1311214825913,1.510891144728935e-09,331.1311214825913,1.510891144728935e-09,331.1311214825913,1.492212531854038e-09,331.1311214825913,1.529722572151608e-09
549.5408738576248,1.510891144712126e-09,549.5408738576248,1.510891144712126e-09,549.5408738576248,1.510891144712126e-09,549.5408738576248,1.492212531839031e-09,549.5408738576248,1.529722572132036e-09
912.0108393559101,1.51089114465683e-09,912.0108393559101,1.51089114465683e-09,912.0108393559101,1.51089114465683e-09,912.0108393559101,1.492212531789094e-09,912.0108393559101,1.529722572068945e-09
1513.561248436209,1.510891144489195e-09,1513.561248436209,1.510891144489195e-09,1513.561248436209,1.510891144489195e-09,1513.561248436209,1.492212531636824e-09,1513.561248436209,1.529722571879544e-09
2511.886431509581,1.510891144001398e-09,2511.886431509581,1.510891144001398e-09,2511.886431509581,1.510891144001398e-09,2511.886431509581,1.492212531192327e-09,2511.886431509581,1.529722571331368e-09
4168.693834703356,1.510891142613651e-09,4168.693834703356,1.510891142613651e-09,4168.693834703356,1.510891142613651e-09,4168.693834703356,1.492212529925348e-09,4168.693834703356,1.529722569777026e-09
6918.309709189368,1.510891138717403e-09,6918.309709189368,1.510891138717403e-09,6918.309709189368,1.510891138717403e-09,6918.309709189368,1.492212526363223e-09,6918.309709189368,1.529722565424656e-09
11481.53621496883,1.51089112786903e-09,11481.53621496883,1.51089112786903e-09,11481.53621496883,1.51089112786903e-09,11481.53621496883,1.492212516429931e-09,11481.53621496883,1.529722553348002e-09
19054.60717963248,1.510891097853846e-09,19054.60717963248,1.510891097853846e-09,19054.60717963248,1.510891097853846e-09,19054.60717963248,1.492212488871236e-09,19054.60717963248,1.529722520153791e-09
31622.77660168381,1.510891015365254e-09,31622.77660168381,1.510891015365254e-09,31622.77660168381,1.510891015365254e-09,31622.77660168381,1.492212412686443e-09,31622.77660168381,1.529722430116025e-09
52480.74602497728,1.510890790619521e-09,52480.74602497728,1.510890790619521e-09,52480.74602497728,1.510890790619521e-09,52480.74602497728,1.4922122027725e-09,52480.74602497728,1.529722189526487e-09
87096.35899560811,1.510890182466433e-09,87096.35899560811,1.510890182466433e-09,87096.35899560811,1.510890182466433e-09,87096.35899560811,1.492211626709979e-09,87096.35899560811,1.529721548128334e-09
144543.9770745928,1.510888532017893e-09,144543.9770745928,1.510888532017893e-09,144543.9770745928,1.510888532017893e-09,144543.9770745928,1.492210051970848e-09,144543.9770745928,1.529719812741224e-09
239883.2919019492,1.510884014335517e-09,239883.2919019492,1.510884014335517e-09,239883.2919019492,1.510884014335517e-09,239883.2919019492,1.49220574757136e-09,239883.2919019492,1.529715057196461e-09
398107.1705534975,1.510871591429001e-09,398107.1705534975,1.510871591429001e-09,398107.1705534975,1.510871591429001e-09,398107.1705534975,1.492193939836632e-09,398107.1705534975,1.529701972833321e-09
660693.4480075964,1.510837411478583e-09,660693.4480075964,1.510837411478583e-09,660693.4480075964,1.510837411478583e-09,660693.4480075964,1.492161479493862e-09,660693.4480075964,1.529665969392865e-09
1096478.196143186,1.510743524681628e-09,1096478.196143186,1.510743524681628e-09,1096478.196143186,1.510743524681628e-09,1096478.196143186,1.492072326796073e-09,1096478.196143186,1.529567077484193e-09
1819700.858609985,1.510486898760481e-09,1819700.858609985,1.510486898760481e-09,1819700.858609985,1.510486898760481e-09,1819700.858609985,1.491828613293696e-09,1819700.858609985,1.529296811176788e-09
3019951.720402018,1.509794682104279e-09,3019951.720402018,1.509794682104279e-09,3019951.720402018,1.509794682104279e-09,3019951.720402018,1.491170984865451e-09,3019951.720402018,1.528568094683664e-09
5011872.336272726,1.507990902629274e-09,5011872.336272726,1.507990902629274e-09,5011872.336272726,1.507990902629274e-09,5011872.336272726,1.489455742876504e-09,5011872.336272726,1.526671117039553e-09
8317637.711026715,1.503663149252742e-09,8317637.711026715,1.503663149252742e-09,8317637.711026715,1.503663149252742e-09,8317637.711026715,1.485332259933882e-09,8317637.711026715,1.522129489657233e-09
