"v (/net11 /net10); ac deg(V) (modelFiles=nom,R2=1000) X","v (/net11 /net10); ac deg(V) (modelFiles=nom,R2=1000) Y","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:fs,R2=1000) X","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:fs,R2=1000) Y","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:sf,R2=1000) X","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:sf,R2=1000) Y","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:ff,R2=1000) X","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:ff,R2=1000) Y","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:ss,R2=1000) X","v (/net11 /net10); ac deg(V) (modelFiles=spectre.scs:ss,R2=1000) Y"
2511.886431509581,-0.008740526049082195,2511.886431509581,-0.008740526049082195,2511.886431509581,-0.008740526049082195,2511.886431509581,-0.008570918596802269,2511.886431509581,-179.9937748130224
4168.693834703356,-0.01450566240025767,4168.693834703356,-0.01450566240025767,4168.693834703356,-0.01450566240025767,4168.693834703356,-0.01422418410198428,4168.693834703356,-179.9896687630794
6918.309709189368,-0.02407340651224708,6918.309709189368,-0.02407340651224708,6918.309709189368,-0.02407340651224708,6918.309709189368,-0.0236062688545418,6918.309709189368,-179.9828544230991
11481.53621496883,-0.03995190619282167,11481.53621496883,-0.03995190619282167,11481.53621496883,-0.03995190619282167,11481.53621496883,-0.03917665083878435,11481.53621496883,-179.9715454647416
19054.60717963248,-0.0663036418306807,19054.60717963248,-0.0663036418306807,19054.60717963248,-0.0663036418306807,19054.60717963248,-0.06501703904840642,19054.60717963248,-179.9527774100575
31622.77660168381,-0.110036570814953,31622.77660168381,-0.110036570814953,31622.77660168381,-0.110036570814953,31622.77660168381,-0.1079013455823106,31622.77660168381,-179.9216308802465
52480.74602497728,-0.1826148633630533,52480.74602497728,-0.1826148633630533,52480.74602497728,-0.1826148633630533,52480.74602497728,-0.1790712893483268,52480.74602497728,-179.8699438771062
87096.35899560811,-0.3030634587475234,87096.35899560811,-0.3030634587475234,87096.35899560811,-0.3030634587475234,87096.35899560811,-0.2971826711848168,87096.35899560811,-179.7841813558049
144543.9770745928,-0.5029520234206508,144543.9770745928,-0.5029520234206508,144543.9770745928,-0.5029520234206508,144543.9770745928,-0.4931927177765099,144543.9770745928,-179.6419294558831
239883.2919019492,-0.834655459604588,239883.2919019492,-0.834655459604588,239883.2919019492,-0.834655459604588,239883.2919019492,-0.818460745622045,239883.2919019492,-179.4062108822419
398107.1705534975,-1.385013592185895,398107.1705534975,-1.385013592185895,398107.1705534975,-1.385013592185895,398107.1705534975,-1.358144832156098,398107.1705534975,-179.0166600054292
660693.4480075964,-2.297775489794502,660693.4480075964,-2.297775489794502,660693.4480075964,-2.297775489794502,660693.4480075964,-2.253219938557463,660693.4480075964,-178.3776247226334
1096478.196143186,-3.809824224826203,1096478.196143186,-3.809824224826203,1096478.196143186,-3.809824224826203,1096478.196143186,-3.736042030632469,1096478.196143186,-177.3504741897778
1819700.858609985,-6.306684265421185,1819700.858609985,-6.306684265421185,1819700.858609985,-6.306684265421185,1819700.858609985,-6.184967428028004,1819700.858609985,-175.790050147633
3019951.720402018,-10.39439364582777,3019951.720402018,-10.39439364582777,3019951.720402018,-10.39439364582777,3019951.720402018,-10.19564312828342,3019951.720402018,-173.7691181721707
5011872.336272726,-16.93586035098582,5011872.336272726,-16.93586035098582,5011872.336272726,-16.93586035098582,5011872.336272726,-16.61979345521044,5011872.336272726,-172.2276509825619
8317637.711026715,-26.83055763016565,8317637.711026715,-26.83055763016565,8317637.711026715,-26.83055763016565,8317637.711026715,-26.35804607465741,8317637.711026715,-173.4518555427381
13803842.64602886,-40.10844123398327,13803842.64602886,-40.10844123398327,13803842.64602886,-40.10844123398327,13803842.64602886,-39.4779408619475,13803842.64602886,-179.3056459155361
