(VT("/net4") - VT("/net3")) X,(VT("/net4") - VT("/net3")) Y
3.004397977444742e-05,-0.0005328972017977218
3.004441687940994e-05,-0.0005327814296101074
3.00450548076165e-05,-0.0005326123931550519
3.004517612170358e-05,-0.0005325802377524891
3.004530103955581e-05,-0.0005325471256831804
3.004537003298154e-05,-0.0005325288356754498
3.004544462390304e-05,-0.0005325090600478699
3.00455141893696e-05,-0.0005324906153274522
3.004563111275388e-05,-0.0005324596114213431
3.004571826264467e-05,-0.0005324365004406584
3.004579881206444e-05,-0.0005324151384265008
3.004589432855909e-05,-0.0005323898053948284
3.004600647909703e-05,-0.0005323600583122534
3.004615237588085e-05,-0.000532321356465415
3.004635767309413e-05,-0.0005322668900848981
3.004665752261662e-05,-0.000532187322509925
3.004696448570623e-05,-0.000532105847320441
3.004732917225627e-05,-0.000532009024469815
3.004780056883499e-05,-0.0005318838278185467
3.004847441187066e-05,-0.0005317047807709141
3.004961160093553e-05,-0.000531402396295233
3.005119880567922e-05,-0.0005309798854131742
3.005302219494867e-05,-0.0005304938343444476
3.005520435472026e-05,-0.0005299112092340685
3.005793314376297e-05,-0.0005291811998187068
3.006158677498132e-05,-0.0005282012783005552
3.006619122718999e-05,-0.0005269622780732508
3.007191869181413e-05,-0.0005254147800197728
3.007928023773387e-05,-0.0005234155298181609
3.008820985080457e-05,-0.0005209750211481179
3.009410492540228e-05,-0.0005193546431279117
3.01e-05,-0.0005177269558669373
3.010085107870457e-05,-0.0005174912972247814
3.01017556977317e-05,-0.0005172406714668565
3.010297882563746e-05,-0.0005169015756880668
3.010542508144899e-05,-0.000516222467463523
3.010782976463897e-05,-0.0005155536823153728
3.01106710091349e-05,-0.0005147619290155614
3.011436103505499e-05,-0.0005137311423069058
3.011866402799777e-05,-0.0005125255516540417
3.012495988533656e-05,-0.000510754692368609
3.01327450502745e-05,-0.0005085536037896521
3.013987096588681e-05,-0.0005065279647311627
3.014783869580024e-05,-0.0005042507000627694
3.014947703506896e-05,-0.000503780833547518
3.015268226830017e-05,-0.0005028600071785849
3.015345854499952e-05,-0.0005026366768496882
3.015501109839824e-05,-0.0005021896482755306
3.015539203955623e-05,-0.0005020798885020383
3.01561539218722e-05,-0.0005018602804538475
3.015658971883902e-05,-0.0005017346376987586
3.015708220505134e-05,-0.000501592555771202
3.015743849546787e-05,-0.000501489736078442
3.015770144569785e-05,-0.0005014138432346549
3.015796890602987e-05,-0.0005013366390629326
3.015828638505121e-05,-0.0005012449798729168
3.015872084121018e-05,-0.0005011195137312185
3.015906654482374e-05,-0.0005010196502648334
3.015940909138757e-05,-0.0005009206714787773
3.015957067825366e-05,-0.0005008739721521493
3.015969638803577e-05,-0.0005008376378237145
3.015980672754297e-05,-0.0005008057434838786
3.015991656334647e-05,-0.0005007739924167698
3.016001605803875e-05,-0.0005007452287275616
3.016012986721125e-05,-0.0005007123244034073
3.016031306177967e-05,-0.0005006593541538873
3.016044724988078e-05,-0.0005006205497883887
3.016057193868654e-05,-0.0005005844891963207
3.016071023544438e-05,-0.0005005444894559119
3.016086718846977e-05,-0.0005004990890422611
3.016105720727174e-05,-0.0005004441172726803
3.016129648585887e-05,-0.0005003748843455114
3.016160925011407e-05,-0.0005002843714714267
3.016200561196454e-05,-0.0005001696371953468
3.016250435317955e-05,-0.00050002522208481
3.016318225988445e-05,-0.0004998288472550794
3.016421500717588e-05,-0.0004995295041338998
3.016568810969066e-05,-0.0004991021502434023
3.016744485228183e-05,-0.0004985919377740178
3.016948477551218e-05,-0.0004979986991813234
3.017187816435461e-05,-0.0004973015981526441
3.017458191297865e-05,-0.0004965127140650338
3.017727888860555e-05,-0.0004957243420258273
3.017980384792249e-05,-0.0004949849298760967
3.018244983931993e-05,-0.0004942087033814602
3.018594605985038e-05,-0.0004931809061039516
3.019203478715614e-05,-0.0004913851581498374
3.02e-05,-0.0004890248521562945
3.020098929032995e-05,-0.0004887307304191069
3.020199722955757e-05,-0.0004884309098718287
3.020345498257914e-05,-0.0004879969815554386
3.020569535238408e-05,-0.0004873292930420714
3.021017609199395e-05,-0.0004859909516301553
3.021775170103751e-05,-0.0004837192446867089
3.022971036010536e-05,-0.0004801103582492416
3.025289123347642e-05,-0.0004730360099054476
3.029925298021854e-05,-0.0004585815330646614
3.039197647370277e-05,-0.0004285000788273319
3.05741176630853e-05,-0.0003652636307729384
3.085570604093541e-05,-0.000258535945946603
3.134854170905533e-05,-5.585880839831248e-05
3.184854170905533e-05,0.0001540523005665317
3.234854170905533e-05,0.0003490000928396686
3.284854170905533e-05,0.0005102451419620735
3.334854170905533e-05,0.0006220348180818736
3.384854170905532e-05,0.0006733633057687261
3.434854170905532e-05,0.0006591245255465061
3.484854170905532e-05,0.000580636262121903
3.534854170905532e-05,0.0004455174080280067
3.584854170905532e-05,0.0002669423591599163
3.634854170905532e-05,6.234982808406286e-05
3.684854170905532e-05,-0.0001482660585658824
3.734854170905531e-05,-0.0003443146356618687
3.784854170905531e-05,-0.0005066256881616216
3.834854170905531e-05,-0.0006193271217955765
3.884854170905531e-05,-0.0006713995551723695
3.934854170905531e-05,-0.0006577557020333025
3.967427085452766e-05,-0.0006137179237850621
4e-05,-0.0005436818397517307
4.000005614809094e-05,-0.0005436675232206589
4.000009881600743e-05,-0.0005436566442589275
4.000018415184041e-05,-0.0005436348868528285
4.000035482350636e-05,-0.0005435913697853234
4.000065215696151e-05,-0.0005435155424180493
4.000114745144396e-05,-0.0005433891841792882
4.000213804040886e-05,-0.0005431363031351832
4.000411921833866e-05,-0.0005426298983326472
4.000808157419826e-05,-0.0005416145042258513
4.001438349173138e-05,-0.00053999247359382
4.002385997834893e-05,-0.0005375369945390673
4.00262688672501e-05,-0.0005369096950968988
4.002991943070383e-05,-0.0005359566354701251
4.003297941066195e-05,-0.0005351555323132029
4.003551527740033e-05,-0.0005344901006265612
4.003810106303871e-05,-0.0005338101339547041
4.003955286993298e-05,-0.0005334277293884693
4.004097890167928e-05,-0.0005330516648400785
4.004166319436149e-05,-0.0005328710534435732
4.004237860983639e-05,-0.000532682118250305
4.004272341673433e-05,-0.0005325910181854798
4.004308456262631e-05,-0.0005324955738044146
4.004338599056497e-05,-0.0005324158902524356
4.004365345518654e-05,-0.0005323451685781411
4.004395984298628e-05,-0.0005322641360219205
4.004438154891782e-05,-0.0005321525712955744
4.004502770250656e-05,-0.0005319815531854566
4.004515053897708e-05,-0.0005319490317436948
4.004528108343723e-05,-0.0005319144679083454
4.004535161830315e-05,-0.0005318957906492727
4.004543130483893e-05,-0.0005318746881612935
4.004550072899454e-05,-0.0005318563018714695
4.004559735634457e-05,-0.0005318307091588537
4.004568892572032e-05,-0.0005318064542245704
4.004576987967127e-05,-0.0005317850096662191
4.004586133859352e-05,-0.0005317607807686642
4.004596775827711e-05,-0.0005317325864111488
4.004610193753546e-05,-0.0005316970342763572
