output noise; V / sqrt(Hz) (modelFiles=nom) X,output noise; V / sqrt(Hz) (modelFiles=nom) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:fs) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:fs) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:sf) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:sf) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ff) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ff) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ss) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ss) Y
4168.693834703356,3.253367832336323e-05,4168.693834703356,3.253367832336323e-05,4168.693834703356,3.253367832336323e-05,4168.693834703356,3.478414352117286e-05,4168.693834703356,2.838816831856381e-05
6918.309709189368,2.555922215389667e-05,6918.309709189368,2.555922215389667e-05,6918.309709189368,2.555922215389667e-05,6918.309709189368,2.731734820773253e-05,6918.309709189368,2.231455863334875e-05
11481.53621496883,2.004090735709842e-05,11481.53621496883,2.004090735709842e-05,11481.53621496883,2.004090735709842e-05,11481.53621496883,2.139554696556128e-05,11481.53621496883,1.752956975246019e-05
19054.60717963248,1.558849916423605e-05,19054.60717963248,1.558849916423605e-05,19054.60717963248,1.558849916423605e-05,19054.60717963248,1.658975358258319e-05,19054.60717963248,1.371430371108994e-05
31622.77660168381,1.183832465096911e-05,31622.77660168381,1.183832465096911e-05,31622.77660168381,1.183832465096911e-05,31622.77660168381,1.250030872855542e-05,31622.77660168381,1.057891720021254e-05
52480.74602497728,8.497337785685729e-06,52480.74602497728,8.497337785685729e-06,52480.74602497728,8.497337785685729e-06,52480.74602497728,8.834774139086284e-06,52480.74602497728,7.857595713451952e-06
87096.35899560811,5.542073621392459e-06,87096.35899560811,5.542073621392459e-06,87096.35899560811,5.542073621392459e-06,87096.35899560811,5.64399710463696e-06,87096.35899560811,5.403915497737677e-06
144543.9770745928,3.261374190923438e-06,144543.9770745928,3.261374190923438e-06,144543.9770745928,3.261374190923438e-06,144543.9770745928,3.26608167521568e-06,144543.9770745928,3.34450191209085e-06
239883.2919019492,1.801326919994432e-06,239883.2919019492,1.801326919994432e-06,239883.2919019492,1.801326919994432e-06,239883.2919019492,1.789385282585897e-06,239883.2919019492,1.898396294919813e-06
398107.1705534975,9.782944596730853e-07,398107.1705534975,9.782944596730853e-07,398107.1705534975,9.782944596730853e-07,398107.1705534975,9.700150004659897e-07,398107.1705534975,1.037363121638886e-06
660693.4480075964,5.368278174151304e-07,660693.4480075964,5.368278174151304e-07,660693.4480075964,5.368278174151304e-07,660693.4480075964,5.328080797978116e-07,660693.4480075964,5.666009206835144e-07
1096478.196143186,3.00557811757117e-07,1096478.196143186,3.00557811757117e-07,1096478.196143186,3.00557811757117e-07,1096478.196143186,2.988490522531297e-07,1096478.196143186,3.146820000590312e-07
1819700.858609985,1.717534762584344e-07,1819700.858609985,1.717534762584344e-07,1819700.858609985,1.717534762584344e-07,1819700.858609985,1.710779864018695e-07,1819700.858609985,1.784167161903934e-07
3019951.720402018,9.984061136841309e-08,3019951.720402018,9.984061136841309e-08,3019951.720402018,9.984061136841309e-08,3019951.720402018,9.958941098951159e-08,3019951.720402018,1.030553602541777e-07
5011872.336272726,5.881319001231686e-08,5011872.336272726,5.881319001231686e-08,5011872.336272726,5.881319001231686e-08,5011872.336272726,5.872935642755653e-08,5011872.336272726,6.04173136278566e-08
8317637.711026715,3.502480057376181e-08,8317637.711026715,3.502480057376181e-08,8317637.711026715,3.502480057376181e-08,8317637.711026715,3.500782316847004e-08,8317637.711026715,3.584760755881166e-08
13803842.64602886,2.109870509032569e-08,13803842.64602886,2.109870509032569e-08,13803842.64602886,2.109870509032569e-08,13803842.64602886,2.111285575181466e-08,13803842.64602886,2.151852355284187e-08
22908676.52767774,1.291157086673852e-08,22908676.52767774,1.291157086673852e-08,22908676.52767774,1.291157086673852e-08,22908676.52767774,1.294698519585055e-08,22908676.52767774,1.31051625782226e-08
38018939.63205615,8.036051833205887e-09,38018939.63205615,8.036051833205887e-09,38018939.63205615,8.036051833205887e-09,38018939.63205615,8.08996790872973e-09,38018939.63205615,8.09301686035974e-09
