output noise; V / sqrt(Hz) (modelFiles=nom) X,output noise; V / sqrt(Hz) (modelFiles=nom) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:fs) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:fs) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:sf) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:sf) Y,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ss) X,output noise; V / sqrt(Hz) (modelFiles=spectre.scs:ss) Y
158489.3192461117,4.435040735238294e-08,158489.3192461117,4.435040735238294e-08,158489.3192461117,4.435040735238294e-08,158489.3192461117,4.457529164825735e-08
251188.6431509586,4.29689928875135e-08,251188.6431509586,4.29689928875135e-08,251188.6431509586,4.29689928875135e-08,251188.6431509586,4.312763342003324e-08
398107.1705534981,4.157973897863282e-08,398107.1705534981,4.157973897863282e-08,398107.1705534981,4.157973897863282e-08,398107.1705534981,4.169564316355271e-08
630957.3444801947,3.957180247383094e-08,630957.3444801947,3.957180247383094e-08,630957.3444801947,3.957180247383094e-08,630957.3444801947,3.966254197034402e-08
1000000.000000002,3.610816596788776e-08,1000000.000000002,3.610816596788776e-08,1000000.000000002,3.610816596788776e-08,1000000.000000002,3.618755967266633e-08
1584893.192461117,3.067288583376387e-08,1584893.192461117,3.067288583376387e-08,1584893.192461117,3.067288583376387e-08,1584893.192461117,3.07521096929679e-08
2511886.431509587,2.41102278828801e-08,2511886.431509587,2.41102278828801e-08,2511886.431509587,2.41102278828801e-08,2511886.431509587,2.419784654711242e-08
3981071.705534983,1.82468883376421e-08,3981071.705534983,1.82468883376421e-08,3981071.705534983,1.82468883376421e-08,3981071.705534983,1.834862124509994e-08
6309573.44480195,1.418369210634873e-08,6309573.44480195,1.418369210634873e-08,6309573.44480195,1.418369210634873e-08,6309573.44480195,1.430127312704362e-08
10000000.00000003,1.186737098112715e-08,10000000.00000003,1.186737098112715e-08,10000000.00000003,1.186737098112715e-08,10000000.00000003,1.199894302040776e-08
15848931.92461118,1.076066402314907e-08,15848931.92461118,1.076066402314907e-08,15848931.92461118,1.076066402314907e-08,15848931.92461118,1.090657086558869e-08
25118864.31509588,1.041058163094621e-08,25118864.31509588,1.041058163094621e-08,25118864.31509588,1.041058163094621e-08,25118864.31509588,1.058185515708624e-08
39810717.05534985,1.064357535852453e-08,39810717.05534985,1.064357535852453e-08,39810717.05534985,1.064357535852453e-08,39810717.05534985,1.087308994078096e-08
63095734.44801953,1.136152160151275e-08,63095734.44801953,1.136152160151275e-08,63095734.44801953,1.136152160151275e-08,63095734.44801953,1.169528982015624e-08
100000000.0000003,1.063825131403323e-08,100000000.0000003,1.063825131403323e-08,100000000.0000003,1.063825131403323e-08,100000000.0000003,1.083819892672707e-08
158489319.2461119,5.989017322477103e-09,158489319.2461119,5.989017322477103e-09,158489319.2461119,5.989017322477103e-09,158489319.2461119,5.895323172655151e-09
251188643.1509589,2.622902659149267e-09,251188643.1509589,2.622902659149267e-09,251188643.1509589,2.622902659149267e-09,251188643.1509589,2.55752136045133e-09
398107170.5534986,1.216474608236949e-09,398107170.5534986,1.216474608236949e-09,398107170.5534986,1.216474608236949e-09,398107170.5534986,1.190374767710839e-09
630957344.4801955,6.459660234229533e-10,630957344.4801955,6.459660234229533e-10,630957344.4801955,6.459660234229533e-10,630957344.4801955,6.348410656509391e-10
1000000000,3.769105108622984e-10,1000000000,3.769105108622984e-10,1000000000,3.769105108622984e-10,1000000000,3.711004717494858e-10
