v /net10; tran (V) (modelFiles=nom) X,v /net10; tran (V) (modelFiles=nom) Y,v /net10; tran (V) (modelFiles=spectre.scs:fs) X,v /net10; tran (V) (modelFiles=spectre.scs:fs) Y,v /net10; tran (V) (modelFiles=spectre.scs:sf) X,v /net10; tran (V) (modelFiles=spectre.scs:sf) Y,v /net10; tran (V) (modelFiles=spectre.scs:ss) X,v /net10; tran (V) (modelFiles=spectre.scs:ss) Y
4.210000000000002e-07,1.655378640431576,4.210000000000002e-07,1.655378640431576,4.210000000000002e-07,1.655378640431576,4.210000000000002e-07,1.655386525884303
4.510000000000002e-07,1.655379088596354,4.510000000000002e-07,1.655379088596354,4.510000000000002e-07,1.655379088596354,4.510000000000002e-07,1.65538697342858
4.810000000000002e-07,1.655379416646607,4.810000000000002e-07,1.655379416646607,4.810000000000002e-07,1.655379416646607,4.810000000000002e-07,1.655387301001848
5.110000000000003e-07,1.655379656773357,5.110000000000003e-07,1.655379656773357,5.110000000000003e-07,1.655379656773357,5.110000000000003e-07,1.655387540762557
5.410000000000003e-07,1.655379832541556,5.410000000000003e-07,1.655379832541556,5.410000000000003e-07,1.655379832541556,5.410000000000003e-07,1.655387716250414
5.710000000000003e-07,1.655379961200534,5.710000000000003e-07,1.655379961200534,5.710000000000003e-07,1.655379961200534,5.710000000000003e-07,1.655387844695123
6.010000000000004e-07,1.655380055376451,6.010000000000004e-07,1.655380055376451,6.010000000000004e-07,1.655380055376451,6.010000000000004e-07,1.655387938707587
6.310000000000004e-07,1.6553801243114,6.310000000000004e-07,1.6553801243114,6.310000000000004e-07,1.6553801243114,6.310000000000004e-07,1.655388007518064
6.610000000000004e-07,1.655380174770425,6.610000000000004e-07,1.655380174770425,6.610000000000004e-07,1.655380174770425,6.610000000000004e-07,1.65538805788245
6.910000000000005e-07,1.655380211705422,6.910000000000005e-07,1.655380211705422,6.910000000000005e-07,1.655380211705422,6.910000000000005e-07,1.655388094745593
7.210000000000005e-07,1.655380238741095,7.210000000000005e-07,1.655380238741095,7.210000000000005e-07,1.655380238741095,7.210000000000005e-07,1.655388121726781
7.510000000000005e-07,1.655380258530657,7.510000000000005e-07,1.655380258530657,7.510000000000005e-07,1.655380258530657,7.510000000000005e-07,1.655388141475079
7.810000000000005e-07,1.655380273016214,7.810000000000005e-07,1.655380273016214,7.810000000000005e-07,1.655380273016214,7.810000000000005e-07,1.655388155929419
8.110000000000006e-07,1.655380283619346,8.110000000000006e-07,1.655380283619346,8.110000000000006e-07,1.655380283619346,8.110000000000006e-07,1.65538816650896
8.410000000000006e-07,1.655380291380622,8.410000000000006e-07,1.655380291380622,8.410000000000006e-07,1.655380291380622,8.410000000000006e-07,1.655388174252426
8.710000000000006e-07,1.655380297061718,8.710000000000006e-07,1.655380297061718,8.710000000000006e-07,1.655380297061718,8.710000000000006e-07,1.655388179920088
9.010000000000007e-07,1.655380301220164,9.010000000000007e-07,1.655380301220164,9.010000000000007e-07,1.655380301220164,9.010000000000007e-07,1.655388184068411
9.310000000000007e-07,1.655380304264062,9.310000000000007e-07,1.655380304264062,9.310000000000007e-07,1.655380304264062,9.310000000000007e-07,1.655388187104686
9.610000000000006e-07,1.655380306492134,9.610000000000006e-07,1.655380306492134,9.610000000000006e-07,1.655380306492134,9.610000000000006e-07,1.655388189327021
