copy (modelFiles=nom) X,copy (modelFiles=nom) Y,copy (modelFiles=spectre.scs:fs) X,copy (modelFiles=spectre.scs:fs) Y,copy (modelFiles=spectre.scs:sf) X,copy (modelFiles=spectre.scs:sf) Y,copy (modelFiles=spectre.scs:ss) X,copy (modelFiles=spectre.scs:ss) Y
1584893.192461117,5.296019263225023e-05,1584893.192461117,5.296019263225023e-05,1584893.192461117,5.296019263225023e-05,1584893.192461117,5.336684253576735e-05
2511886.431509587,5.924764684005536e-05,2511886.431509587,5.924764684005536e-05,2511886.431509587,5.924764684005536e-05,2511886.431509587,5.964678446467987e-05
3981071.705534983,6.466750698951051e-05,3981071.705534983,6.466750698951051e-05,3981071.705534983,6.466750698951051e-05,3981071.705534983,6.507830566209828e-05
6309573.44480195,6.930904115025156e-05,6309573.44480195,6.930904115025156e-05,6309573.44480195,6.930904115025156e-05,6309573.44480195,6.975153386360357e-05
10000000.00000003,7.372128294923894e-05,10000000.00000003,7.372128294923894e-05,10000000.00000003,7.372128294923894e-05,10000000.00000003,7.42181597379106e-05
15848931.92461118,7.86468224747247e-05,15848931.92461118,7.86468224747247e-05,15848931.92461118,7.86468224747247e-05,15848931.92461118,7.9229154938673e-05
25118864.31509588,8.499619280482093e-05,25118864.31509588,8.499619280482093e-05,25118864.31509588,8.499619280482093e-05,25118864.31509588,8.571818274639416e-05
39810717.05534985,9.408875712758854e-05,39810717.05534985,9.408875712758854e-05,39810717.05534985,9.408875712758854e-05,39810717.05534985,9.507174774333724e-05
63095734.44801953,0.0001080485424768114,63095734.44801953,0.0001080485424768114,63095734.44801953,0.0001080485424768114,63095734.44801953,0.0001095788401670943
100000000.0000003,0.0001270615512985767,100000000.0000003,0.0001270615512985767,100000000.0000003,0.0001270615512985767,100000000.0000003,0.0001292242616694951
158489319.2461119,0.0001431896746641683,158489319.2461119,0.0001431896746641683,158489319.2461119,0.0001431896746641683,158489319.2461119,0.0001454323642780872
251188643.1509589,0.0001499487773074838,251188643.1509589,0.0001499487773074838,251188643.1509589,0.0001499487773074838,251188643.1509589,0.0001518703943171813
398107170.5534986,0.0001519826085542711,398107170.5534986,0.0001519826085542711,398107170.5534986,0.0001519826085542711,398107170.5534986,0.0001537829597280447
630957344.4801955,0.0001527075024575965,630957344.4801955,0.0001527075024575965,630957344.4801955,0.0001527075024575965,630957344.4801955,0.0001544703665379349
1000000000,0.0001530450596789255,1000000000,0.0001530450596789255,1000000000,0.0001530450596789255,1000000000,0.0001547929971555979
