"v /net8; ac deg(V) (modelFiles=nom,cf=2e-12) X","v /net8; ac deg(V) (modelFiles=nom,cf=2e-12) Y","v /net8; ac deg(V) (modelFiles=spectre.scs:fs,cf=2e-12) X","v /net8; ac deg(V) (modelFiles=spectre.scs:fs,cf=2e-12) Y","v /net8; ac deg(V) (modelFiles=spectre.scs:ss,cf=2e-12) X","v /net8; ac deg(V) (modelFiles=spectre.scs:ss,cf=2e-12) Y","v /net8; ac deg(V) (modelFiles=spectre.scs:sf,cf=2e-12) X","v /net8; ac deg(V) (modelFiles=spectre.scs:sf,cf=2e-12) Y"
38018939.63205615,-114.0212663921797,38018939.63205615,-114.0212663921797,38018939.63205615,-114.2495601310418,38018939.63205615,-114.0212663921797
63095734.44801937,-135.5406375479818,63095734.44801937,-135.5406375479818,63095734.44801937,-136.3554843508151,63095734.44801937,-135.5406375479818
104712854.80509,-179.4612897589598,104712854.80509,-179.4612897589598,104712854.80509,-182.0559987256736,104712854.80509,-179.4612897589598
173780082.8749377,-231.0802057821342,173780082.8749377,-231.0802057821342,173780082.8749377,-233.3078651418279,173780082.8749377,-231.0802057821342
288403150.3126608,-257.131551017669,288403150.3126608,-257.131551017669,288403150.3126608,-258.0796614371093,288403150.3126608,-257.131551017669
478630092.3226386,-265.3235959491747,478630092.3226386,-265.3235959491747,478630092.3226386,-265.7099196208584,478630092.3226386,-265.3235959491747
794328234.724282,-266.6950314731423,794328234.724282,-266.6950314731423,794328234.724282,-266.9190433642252,794328234.724282,-266.6950314731423
1318256738.556408,-267.4104735749451,1318256738.556408,-267.4104735749451,1318256738.556408,-267.5686420613428,1318256738.556408,-267.4104735749451
2187761623.949554,-268.2274081020233,2187761623.949554,-268.2274081020233,2187761623.949554,-268.333264302483,2187761623.949554,-268.2274081020233
3630780547.701016,-268.8767381348771,3630780547.701016,-268.8767381348771,3630780547.701016,-268.9435092340934,3630780547.701016,-268.8767381348771
6025595860.743582,-269.3103189785364,6025595860.743582,-269.3103189785364,6025595860.743582,-269.3512703305339,6025595860.743582,-269.3103189785364
10000000000,-269.58155046787,10000000000,-269.58155046787,10000000000,-269.6063886093456,10000000000,-269.58155046787
