"v /net8; ac deg(V) (modelFiles=nom,cf=5e-13) X","v /net8; ac deg(V) (modelFiles=nom,cf=5e-13) Y","v /net8; ac deg(V) (modelFiles=spectre.scs:fs,cf=5e-13) X","v /net8; ac deg(V) (modelFiles=spectre.scs:fs,cf=5e-13) Y","v /net8; ac deg(V) (modelFiles=spectre.scs:sf,cf=5e-13) X","v /net8; ac deg(V) (modelFiles=spectre.scs:sf,cf=5e-13) Y","v /net8; ac deg(V) (modelFiles=spectre.scs:ss,cf=5e-13) X","v /net8; ac deg(V) (modelFiles=spectre.scs:ss,cf=5e-13) Y"
43.65158322401662,-0.000803116432141272,43.65158322401662,-0.000803116432141272,43.65158322401662,-0.000803116432141272,43.65158322401662,-0.0008034272000749611
72.44359600749904,-0.00133284151577987,72.44359600749904,-0.00133284151577987,72.44359600749904,-0.00133284151577987,72.44359600749904,-0.001333357262173832
120.2264434617413,-0.002211966328593898,120.2264434617413,-0.002211966328593898,120.2264434617413,-0.002211966328593898,120.2264434617413,-0.002212822254560611
199.526231496888,-0.00367095035550258,199.526231496888,-0.00367095035550258,199.526231496888,-0.00367095035550258,199.526231496888,-0.00367237083903918
331.1311214825913,-0.006092261133569421,331.1311214825913,-0.006092261133569421,331.1311214825913,-0.006092261133569421,331.1311214825913,-0.006094618549485965
549.5408738576248,-0.01011063674869273,549.5408738576248,-0.01011063674869273,549.5408738576248,-0.01011063674869273,549.5408738576248,-0.01011454908547529
912.0108393559101,-0.01677948007564802,912.0108393559101,-0.01677948007564802,912.0108393559101,-0.01677948007564802,912.0108393559101,-0.01678597293944661
1513.561248436209,-0.0278470040835089,1513.561248436209,-0.0278470040835089,1513.561248436209,-0.0278470040835089,1513.561248436209,-0.0278577795593181
2511.886431509581,-0.04621451715526061,2511.886431509581,-0.04621451715526061,2511.886431509581,-0.04621451715526061,2511.886431509581,-0.04623240001235904
4168.693834703356,-0.07669697911371802,4168.693834703356,-0.07669697911371802,4168.693834703356,-0.07669697911371802,4168.693834703356,-0.07672665735392613
6918.309709189368,-0.1272851721498491,6918.309709189368,-0.1272851721498491,6918.309709189368,-0.1272851721498491,6918.309709189368,-0.1273344261559506
11481.53621496883,-0.2112402099615957,11481.53621496883,-0.2112402099615957,11481.53621496883,-0.2112402099615957,11481.53621496883,-0.2113219530351469
19054.60717963248,-0.3505687660174447,19054.60717963248,-0.3505687660174447,19054.60717963248,-0.3505687660174447,19054.60717963248,-0.3507044338417332
31622.77660168381,-0.581786898658762,31622.77660168381,-0.581786898658762,31622.77660168381,-0.581786898658762,31622.77660168381,-0.5820120881777056
52480.74602497728,-0.9654690870309056,52480.74602497728,-0.9654690870309056,52480.74602497728,-0.9654690870309056,52480.74602497728,-0.9658429775760662
87096.35899560811,-1.602020188943351,87096.35899560811,-1.602020188943351,87096.35899560811,-1.602020188943351,87096.35899560811,-1.602641464677166
144543.9770745928,-2.657506192731166,144543.9770745928,-2.657506192731166,144543.9770745928,-2.657506192731166,144543.9770745928,-2.658540776300948
239883.2919019492,-4.404960715990671,239883.2919019492,-4.404960715990671,239883.2919019492,-4.404960715990671,239883.2919019492,-4.406693727112013
398107.1705534975,-7.285938254244704,398107.1705534975,-7.285938254244704,398107.1705534975,-7.285938254244704,398107.1705534975,-7.28888672287215
660693.4480075964,-11.98237958868063,660693.4480075964,-11.98237958868063,660693.4480075964,-11.98237958868063,660693.4480075964,-11.98759294734518
1096478.196143186,-19.41667966355362,1096478.196143186,-19.41667966355362,1096478.196143186,-19.41667966355362,1096478.196143186,-19.42667148556418
1819700.858609985,-30.39059798472085,1819700.858609985,-30.39059798472085,1819700.858609985,-30.39059798472085,1819700.858609985,-30.4120682147199
3019951.720402018,-44.52308770975267,3019951.720402018,-44.52308770975267,3019951.720402018,-44.52308770975267,3019951.720402018,-44.57168577705838
5011872.336272726,-59.66596058555011,5011872.336272726,-59.66596058555011,5011872.336272726,-59.66596058555011,5011872.336272726,-59.76143475253161
8317637.711026715,-73.9051922340203,8317637.711026715,-73.9051922340203,8317637.711026715,-73.9051922340203,8317637.711026715,-74.03683008414389
13803842.64602886,-87.27570099992249,13803842.64602886,-87.27570099992249,13803842.64602886,-87.27570099992249,13803842.64602886,-87.39620487487164
22908676.52767774,-101.4185534258999,22908676.52767774,-101.4185534258999,22908676.52767774,-101.4185534258999,22908676.52767774,-101.5204111775411
38018939.63205615,-119.770030238117,38018939.63205615,-119.770030238117,38018939.63205615,-119.770030238117,38018939.63205615,-119.9964373945785
63095734.44801937,-148.684081127795,63095734.44801937,-148.684081127795,63095734.44801937,-148.684081127795,63095734.44801937,-149.6384201607528
104712854.80509,-193.0839117746132,104712854.80509,-193.0839117746132,104712854.80509,-193.0839117746132,104712854.80509,-195.4027832274207
173780082.8749377,-235.8321835427228,173780082.8749377,-235.8321835427228,173780082.8749377,-235.8321835427228,173780082.8749377,-237.8520232631402
288403150.3126608,-262.496263359353,288403150.3126608,-262.496263359353,288403150.3126608,-262.496263359353,288403150.3126608,-263.5924001793677
478630092.3226386,-273.3433997370953,478630092.3226386,-273.3433997370953,478630092.3226386,-273.3433997370953,478630092.3226386,-273.7791040938045
794328234.724282,-272.0274626761467,794328234.724282,-272.0274626761467,794328234.724282,-272.0274626761467,794328234.724282,-272.169769548639
1318256738.556408,-269.3025669635689,1318256738.556408,-269.3025669635689,1318256738.556408,-269.3025669635689,1318256738.556408,-269.427499076682
2187761623.949554,-268.7637994260066,2187761623.949554,-268.7637994260066,2187761623.949554,-268.7637994260066,2187761623.949554,-268.8728470925187
3630780547.701016,-269.0344255507464,3630780547.701016,-269.0344255507464,3630780547.701016,-269.0344255507464,3630780547.701016,-269.1107801070761
6025595860.743582,-269.3662605265461,6025595860.743582,-269.3662605265461,6025595860.743582,-269.3662605265461,6025595860.743582,-269.4148978429021
10000000000,-269.6064777433037,10000000000,-269.6064777433037,10000000000,-269.6064777433037,10000000000,-269.6363848075968
